comments,sosmed,label
"['calon', 'presiden', 'miskin', 'percaya', 'panutan', 'butuh', 'panutan', 'kaya', 'keras', 'cocoke', 'patuh']",instagram,1
"['c1', 'palsu', 'jurdil']",instagram,2
"['sidang', 'mahkamah', 'agung', 'milu', 'kayak']",instagram,2
"['banget', 'bu']",instagram,0
"['krakyat', 'indonesiam', 'berkas', 'via', 'email', 'dikrakyat', 'indonesiarakyat', 'indonesiamahkamah', 'agung', '3', 'rantidakap']",instagram,2
"['selbanget', 'andal', 'golkar']",instagram,2
"['semangat', 'nyala', 'abah', 'ku']",instagram,1
"['rakyat', 'indonesiantah', 'anis', 'persiden', 'anak', 'persiden', 'wakil', 'persiden', 'rakyat', 'indonesiatahan', 'rela', 'proyek', 'kelola', 'anak', 'coba', 'liat', 'ssaja', 'keluargaa', 'masukin', 'rakyat', 'indonesiantahan', 'anak', 'mantu', 'nama', 'rakyat', 'indonesiantahan', 'keluargaa', 'rakayat', 'orang2', 'cerdas', 'keluarga', 'seleksi', 'banget', 'coba', 'mikir', 'rakayat', 'cerdas']",instagram,1
"['ngabisi', 'mat', 'senmasih', '02', 'lantik']",instagram,2
"['nyala', '2024']",instagram,0
"['bawa2', 'politik', 'musibah', 'bawa2', 'politik', 'harap', 'rakyat', 'indonesiantah', 'tatidakp', 'musibah', 'timpa', 'saudahra', 'sana']",instagram,2
"['omong', 'omong', 'kokek', 'ada', 'pilih']",instagram,2
"['rakyat', 'indonesiamakasih', 'srakyat', 'indonesia', 'mulyaniuntuk', 'penjelasannyasemoga', 'benci', 'presiden', 'jokowi', 'buka', 'hati', 'selbanget', 'buta', 'benci', 'hina2an', 'mendasarapapun', 'cerakyat', 'indonesiatanya', 'hutang2', 'negarasebanding', 'bangun', 'jokowi', 'memimpinsehat']",instagram,2
"['wes', 'angel', 'angel', 'angel', 'abot']",instagram,1
"['menang', 'muliakalah', 'hinatapi', 'curang', 'sudahh', 'celaka']",instagram,2
"['ghoib', 'kang', 'darakyat', 'indonesia', '28', '31']",instagram,0
"['tidakk', 'rela', 'dukung', 'tidakk', 'ngomong']",instagram,0
"['barakyat', 'indonesiasan', 'amiin', 'biar', 'adil', 'allah']",instagram,1
"['sumber', 'data', 'rujuk', 'mana']",instagram,1
"['nonton', 'siksa', 'kubur']",instagram,2
"['khawatir', 'rakyat', 'indonesiata', 'indepth', 'investigasi', 'temen2', 'pers', 'ku', 'semangat', 'upskill', 'wartawan', 'investigasi', 'plus', 'backup', 'plan', 'kabur', 'semangat', 'pegang', 'erat']",instagram,0
"['bukti', 'hasil', 'suara', 'psi', 'nambah', 'ngambil', 'suara', 'sah']",instagram,2
"['temen2', 'salah', 'tafsir', 'potong', 'nyata', 'ambil', 'melirakyat', 'indonesiak', 'kokenteks', 'kemuntidakinan', 'kokealisi', 'pada', 'pks', 'klaten', 'kokensepnya', 'kader', 'darakyat', 'indonesia', 'pada', 'dipasantidakan', 'rakyat', 'indonesiadwan', 'hanif', 'beliau', 'paham', 'rekan2', 'pks', 'sehitidak', 'rakyat', 'indonesiadwan', 'hanof', 'wakil', 'darakyat', 'indonesia', 'pks', 'sejarah', 'bicara', '2015', 'klaten', 'pada', 'kokealisi', 'pks']",instagram,1
"['mantap', 'tuju', 'buk', 'kader', 'pdip', 'daerah', 'mana']",instagram,3
"['emir', 'qatar', 'prabowo', 'anak', 'jokowiemir', 'qatar', 'gede', 'skg', 'udahh', 'pinter', 'nyarakyat', 'indonesia', 'kerja', 'gibran', 'omm', 'pinter', 'nyarakyat', 'indonesiain', 'kerja']",instagram,2
"['aneh', 'banget', 'stemen']",instagram,0
"['percaya', 'lanjut', 'tangan', 'mu', 'prabowo']",instagram,2
"['kelas', 'presiden', 'kokementarnya', 'pikir', 'akalakalan', 'pake', 'data', 'rakayat', 'ssaja', 'ngumpulin', 'bukti', 'curang', 'pake', 'data', 'kokek']",instagram,2
"['02', 'tuju', 'pks', 'gabung', 'prabowo', 'gibran', 'silah', 'pks', 'oposisi']",instagram,2
"['tuaduh', 'ijazah', 'palsu', 'anak', 'abah', 'anak2', 'abah', 'sekolah']",instagram,1
"['ubah', 'realisasi']",instagram,1
"['tv', 'one', 'buzer', 'psi']",instagram,2
"['perempuan', 'perempuan', 'tarung', 'darakyat', 'indonesia', 'partai', 'golkar', 'bawa', 'indonesia', 'maju']",instagram,2
"['kokecak', 'banget', 'dukung', 'kampanye', 'batidak', 'banget', 'program', 'buzer', 'bantu', '02', 'support', 'lokeal', 'umahkamah', 'agungm']",instagram,2
['macella'],instagram,0
"['mental', 'pola', 'pikir', 'masayaarakatanyaa', 'ubah', 'akar', 'darakyat', 'indonesia', 'masayaarakatanyaa', 'sendirakyat', 'indonesia', '999', 'mau', 'suara', 'dibelidibayar', 'coba']",instagram,2
"['banpres', 'bagi', 'bansos', 'latidakr', 'uu']",instagram,1
"['benar2', 'sentidakuni', 'malu']",instagram,0
"['wapres', 'kenapa', 'mundur']",instagram,2
"['mudahh2', 'hakim', 'mahkamah', 'agung', 'bohong', 'balas', 'sesuai', 'putus']",instagram,2
"['lupa', 'nasdem', 'tuju', 'omnibus', 'law']",instagram,1
"['bener2', 'kalah', 'legowogimana', 'menangtiap', 'daerah', '02', 'unggul']",instagram,2
"['01', '03']",instagram,2
"['hasil', 'survey', 'lakulan', 'semdirakyat', 'indonesia', 'pesanandi', 'laku', 'prof', 'darakyat', 'indonesia', 'ipb', 'bogor', 'idham', 'khurakyat', 'indonesia', 'fan', 'hasil', 'sungguh', 'gembira', 'profdarakyat', 'indonesiaabah', 'anies', 'muhaimin', 'calon', 'presiden', 'wakil', 'presiden', '2024', '2034insayaa', 'allah', 'menangaamin', 'rabbal', 'alamin']",instagram,1
"['curang', 'ngapain', 'videokean']",instagram,2
['uhuuuiyyy'],instagram,0
"['wooowwww', 'job', 'indo', 'banget']",instagram,0
"['maling', 'handphone', 'penjara', '7', 'tahunmaling', 'pitih', 'masarakaik', 'penjara', '2']",instagram,0
"['selbanget', 'moga', 'amanah']",instagram,0
['2'],instagram,2
"['ubah', 'suara']",instagram,0
"['biar', 'kapoke', 'jaga', 'mulut']",instagram,0
"['wakil', 'presiden', 'ku', 'masayaarakat', 'indonesia', '02']",instagram,2
"['sg', 'kalah', 'kemlipik', 'golet', 'dal', 'berkokear2', 'curang2', 'lapor2awit', 'jaman', 'clurut', 'klimis', 'tekan', 'clurut', 'kumisen', 'ora', 'gumun']",instagram,0
"['gaskeun', 'bang', 'karya']",instagram,0
"['bilang', 'atidak', 'emang']",instagram,0
[],instagram,0
"['batidak', 'pilih', '02']",instagram,2
"['amin', 'rabbal', 'alamin', 'moga', 'sukses', 'ssaja', 'gibran', 'bawa', 'indonesia', 'maju', 'darakyat', 'indonesia', 'segi', 'perekokenomian', 'rakayat', 'makmur']",instagram,2
"['abah', 'adem', 'ayem', 'benci', 'panas']",instagram,1
"['salut', 'pks', 'kader', 'pilih', 'pks', 'milu', '2024selanjutanyaa', 'gantung', 'sikap', 'pks']",instagram,1
"['menohoke', 'paslon', 'rakyat', 'indonesiang', 'rendah', 'gibran', 'debat']",instagram,2
"['tau', 'tau', 'yangy', 'program', 'distrakyat', 'indonesiabusinya', 'bibit', 'dasar', 'darakyat', 'indonesia', 'rakyat', 'indonesialaku', 'kokerupsi', 'tau', 'gatau', 'tau']",instagram,2
"['menyalaaa', 'presidenkuu']",instagram,0
"['nikmat', 'jabat', 'dunia', 'akhirat', 'pertanggungjawabannya']",instagram,2
"['program', 'makan', 'siang', 'outapiutanyaa']",instagram,2
"['cak', 'imin', 'ngarep']",instagram,1
"['ketar', 'tir', 'pdip', 'maju', 'mundur', 'king', 'politik', 'indonesia', 'jokowi']",instagram,2
"['beliau', 'presiden', 'baik']",instagram,0
"['kawal', 'presiden', 'jabat']",instagram,0
"['panas', 'ganjar', 'fakta']",instagram,3
"['rakyat', 'indonesiamakasih', 'sudahh', 'wakil', 'suara', 'hati']",instagram,0
"['prabroro', 'kokemcad', 'indonesia']",instagram,2
"['anies', 'baswedan', 'rakyat', 'indonesia', 'contoh', 'negara']",instagram,1
"['tabaraqallah', 'presiden', 'ku', 'moga', 'sehat', 'penuh', 'untung', 'aamiin']",instagram,0
"['pilih', 'mayorakyat', 'indonesiatas', 'masayaarakat', 'sumbar', 'hadir', 'tengah2', 'penderakyat', 'indonesiataan', 'rakayat', 'landa', 'bencana', 'sebaikbaiknya', 'pimpin', 'hadir', 'tengah2', 'rakayatanyaa', 'suka', 'duka', 'moga', 'bantu', 'darakyat', 'indonesia', 'bantu', 'rakyat', 'indonesiangankan', 'beban', 'saudahra2', 'sumbar', 'landa', 'musibah']",instagram,1
"['bravo', 'president', 'ku', 'rakyat', 'indonesia', 'ke8']",instagram,0
"['legislative', 'oke', 'executive', 'oke', 'yudicative']",instagram,0
"['suuzon', 'suci', 'proyek', 'ektapi', 'ciprat']",instagram,0
"['prabowo', 'subianto', 'erakyat', 'indonesiack', 'thohir', 'sty']",instagram,2
"['subhanallah', 'haru', 'amin', 'menang', '1', 'putaranamin', 'presiden', 'rakyat', 'indonesia', 'thn2024qobul']",instagram,1
"['lanjuntukan', '2029', 'naek', 'rakyat', 'indonesia', '1', 'warga', 'jakarta', 'rakyat', 'indonesiandu', 'pimpin', 'jakarta']",instagram,1
"['allah', 'maha', 'baik', 'anies']",instagram,1
"['02', 'ttapi', 'hati']",instagram,2
"['bentar', 'dititidakk', 'cak', 'imin']",instagram,1
"['saran', 'dukung', 'anis', 'kenan', 'layar', 'dukung', 'bangun', 'karakter', 'anak', 'bangsa', 'berakhlakul', 'kharakyat', 'indonesiamah']",instagram,1
"['keren', 'garut']",instagram,0
"['cantidakem', 'mu']",instagram,1
"['mantap', 'pilih', 'amin', 'tumbantidakan', 'dinasti', 'politik']",instagram,1
"['serah', 'rakyat', 'indonesiantahan', 'indonesia', 'ahli', 'terus', 'kerusakannyawaktunya', 'ubah', 'kembali', 'indonesia', 'jalur', 'aminssajadulu']",instagram,1
"['anies', 'bangsa']",instagram,1
"['harakyat', 'indonesia', 'ikhtiar', 'beliau', 'rakyat', 'indonesia', 'ujung', 'harap', 'tim', 'prakyat', 'indonesiabadi', 'presiden', 'milik', 'presiden', 'beliau', 'cerdas', 'wibawa', 'iq', 'fisik', 'milik', 'jiwa', 'pimpin', 'milik', 'negara', 'manusia', 'lantidaka']",instagram,1
"['ayo', 'amin', 'indonesia', 'pilih', 'amin', '1', 'lai', 'allah', 'rakyat', 'indonesia', 'takdir', 'mu', 'allah', 'anies', 'baswedan', 'muhaimin', 'iskandar', 'presiden', 'wakil', 'presiden', 'republik', 'indonesia', '20242029', 'ijin', 'rakyat', 'indonesiadho', 'mu', 'allah', 'kabul', 'mohon', 'kamiaamiin', 'aamiin']",instagram,1
"['anak', '5', '1', 'cewek', '4', 'cowoke', 'feelintidaku', 'istrakyat', 'indonesia', 'abah', 'anies', 'cocoke', 'rakyat', 'indonesia']",instagram,1
"['rakyat', 'indonesiaus', 'keluargaa', 'prakyat', 'indonesiansipnya', 'emang', 'ga', 'malu', 'miskah']",instagram,0
"['nasehat', 'tin', 'suharto', 'didik', 'generasi', 'residen', 'rakyat', 'indonesia', '2024']",instagram,2
"['anies', 'cak', 'imin', 'best']",instagram,1
['wawwwwww'],instagram,0
